"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:21:00.7388591","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: True, Offset: 120, Length: 1, Fail Immediately: True"
"15:21:00.7388684","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","AllocationSize: 0, EndOfFile: 0, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7388799","ZCode.exe","23548","SetEndOfFileInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","EndOfFile: 32768"
"15:21:00.7389617","ZCode.exe","23548","SetAllocationInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","AllocationSize: 32768"
"15:21:00.7389889","ZCode.exe","23548","CreateFileMapping","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","FILE LOCKED WITH WRITERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READWRITE"
"15:21:00.7390040","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","AllocationSize: 32768, EndOfFile: 32768, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:21:00.7390276","ZCode.exe","23548","CreateFileMapping","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","SyncType: SyncTypeOther"
"15:21:00.7390635","ZCode.exe","23548","ReadFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Offset: 0, Length: 32768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"15:21:00.7390951","ZCode.exe","23548","LockFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-shm","SUCCESS","Exclusive: True, Offset: 121, Length: 2, Fail Immediately: True"
"15:21:00.7391058","ZCode.exe","23548","QueryStandardInformationFile","C:\Users\DELL\AppData\Local\D3DSCache\49eada2fedf12263\6F75932F-7DFC-4FB0-B4B8-12DE1AC415DA_VEN_8086&DEV_9A49&SUBSYS_A20&REV_1.dxcache-wal","SUCCESS","AllocationSize: 0, EndOfFile: 0, NumberOfLinks: 1, DeletePending: False, Directory: False"
